JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA ,6391,3118,3273,2814,3577,4,4,4
ARAD,4675,2706,1969,2697,1978,2,3,2
ARGES,9382,4823,4559,4163,5219,4,4,3
BACAU,11121,4825,6296,2854,8267,5,5,5
BIHOR,5524,3246,2278,3183,2341,2,3,2
BISTRITA NASAUD,4131,2295,1836,2231,1900,3,4,3
BOTOSANI,3917,1965,1952,1172,2745,3,3,3
BRAILA,4906,2100,2806,929,3977,4,4,4
BRASOV,6704,3197,3507,2170,4534,3,3,2
BUZAU,11824,5018,6806,2200,9624,7,6,7
CALARASI,3730,1944,1786,900,2830,4,4,4
CARA?-SEVERIN,3602,1704,1898,1588,2014,3,4,3
CLUJ,6308,3557,2751,2992,3316,2,2,1
CONSTANTA,7870,4552,3318,2926,4944,3,4,2
COVASNA,4373,2233,2140,1275,3098,5,5,5
DAMBOVITA,6257,3066,3191,1691,4566,3,4,3
DOLJ,17456,7675,9781,3176,14280,7,6,7
GALATI,11677,5189,6488,2152,9525,6,6,6
GIURGIU,2097,1140,957,740,1357,3,3,2
GORJ,5159,2463,2696,2152,3007,4,4,4
HARGHITA,6108,3141,2967,2348,3760,5,5,4
HUNEDOARA,5963,3365,2598,3689,2274,3,4,3
IALOMITA,4073,1897,2176,1018,3055,4,4,4
IASI,9026,4215,4811,1968,7058,3,3,3
ILFOV,1423,876,547,946,477,1,1,0
MARAMURES,5042,2510,2532,2022,3020,3,3,2
MEHEDINTI,6227,2831,3396,1717,4510,6,6,6
MUN. BUC.,15317,8220,7097,4793,10524,1,1,1
MURES,5999,2959,3040,2100,3899,3,3,2
NEAMT,7869,3809,4060,2432,5437,4,5,4
OLT,9332,4371,4961,2118,7214,6,6,6
PRAHOVA,8935,4778,4157,4466,4469,3,4,2
SALAJ,5253,2521,2732,1700,3553,5,6,5
SATU M.,5280,2471,2809,958,4322,4,4,4
SIBIU,5207,2626,2581,2440,2767,3,3,2
SUCEAVA,12034,5815,6219,4588,7446,5,5,5
TELEORMAN,8381,3807,4574,1790,6591,6,6,6
TIMIS,4055,2316,1739,2714,1341,1,2,1
TULCEA,2597,1333,1264,774,1823,3,3,3
VALCEA,5909,2996,2913,2643,3266,4,4,3
VASLUI,9011,3988,5023,1552,7459,7,6,7
VRANCEA,5586,2503,3083,1188,4398,4,4,4
Total ,285731,140164,145567,93969,191762,3,4,3
