JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA ,6736,3182,3554,2816,3920,4,4,4
ARAD,4077,2314,1763,2618,1459,2,2,1
ARGES,9843,4901,4942,4269,5574,4,4,4
BACAU,12021,5063,6958,3191,8830,6,5,6
BIHOR,5822,3354,2468,3459,2363,2,3,2
BISTRITA NASAUD,4368,2277,2091,2543,1825,3,4,3
BOTOSANI,4108,1860,2248,1397,2711,3,3,3
BRAILA,5389,2268,3121,1172,4217,4,4,5
BRASOV,6608,3112,3496,2122,4486,3,3,2
BUZAU,13102,5290,7812,2527,10575,8,7,9
CALARASI,3610,1742,1868,1020,2590,4,4,4
CARA?-SEVERIN,3547,1677,1870,1614,1933,3,4,3
CLUJ,6407,3510,2897,3027,3380,2,2,1
CONSTANTA,8330,4935,3395,3878,4452,3,4,2
COVASNA,4303,2095,2208,1146,3157,5,5,5
DAMBOVITA,5775,2826,2949,1702,4073,3,3,3
DOLJ,18848,8120,10728,3176,15672,7,7,7
GALATI,11856,5033,6823,2432,9424,6,6,7
GIURGIU,2062,1097,965,765,1297,3,3,2
GORJ,5121,2324,2797,2052,3069,4,4,4
HARGHITA,6303,3239,3064,2826,3477,5,5,4
HUNEDOARA,5426,2783,2643,2585,2841,3,3,3
IALOMITA,4732,2111,2621,1603,3129,5,5,5
IASI,9708,4475,5233,2144,7564,3,3,3
ILFOV,1466,892,574,996,470,1,1,0
MARAMURES,3991,2062,1929,2325,1666,2,2,2
MEHEDINTI,6281,2796,3485,1784,4497,6,6,6
MUN. BUC.,15074,8153,6921,4706,10368,1,1,1
MURES,6241,2940,3301,2253,3988,3,3,3
NEAMT,9252,4178,5074,2627,6625,5,5,5
OLT,9546,4295,5251,2266,7280,6,6,6
PRAHOVA,8445,4466,3979,4362,4083,3,4,2
SALAJ,5326,2480,2846,1752,3574,5,5,5
SATU M.,5516,2575,2941,1157,4359,4,4,4
SIBIU,5301,2605,2696,2369,2932,3,3,2
SUCEAVA,10635,4835,5800,4799,5836,5,5,5
TELEORMAN,9267,3902,5365,1889,7378,7,6,7
TIMIS,4497,2516,1981,2832,1665,1,2,1
TULCEA,2634,1249,1385,996,1638,3,3,3
VALCEA,5656,2811,2845,2879,2777,4,4,3
VASLUI,9367,4031,5336,1958,7409,7,6,8
VRANCEA,5619,2396,3223,1215,4404,4,4,4
Total ,292216,138770,153446,99249,192967,3,3,3
