JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA ,6453,3133,3320,2949,3504,4,4,4
ARAD,4772,2784,1988,2800,1972,2,3,2
ARGES,10070,5143,4927,4272,5798,4,4,4
BACAU,10825,4721,6104,2813,8012,5,5,5
BIHOR,5317,3205,2112,3290,2027,2,3,1
BISTRITA NASAUD,4062,2280,1782,2200,1862,3,4,3
BOTOSANI,3933,1958,1975,1178,2755,3,3,3
BRAILA,4874,2122,2752,929,3945,4,4,4
BRASOV,6831,3284,3547,2238,4593,3,3,2
BUZAU,11953,5085,6868,2226,9727,7,6,7
CALARASI,3714,1950,1764,947,2767,4,4,4
CARA?-SEVERIN,3771,1786,1985,1638,2133,4,4,3
CLUJ,6595,3679,2916,3084,3511,2,2,1
CONSTANTA,7017,3827,3190,2270,4747,2,3,2
COVASNA,4290,2209,2081,1294,2996,5,5,5
DAMBOVITA,6083,2962,3121,1669,4414,3,4,3
DOLJ,17707,7742,9965,3091,14616,7,6,7
GALATI,12027,5345,6682,2291,9736,6,6,6
GIURGIU,2153,1175,978,757,1396,3,3,2
GORJ,4979,2422,2557,2138,2841,4,4,4
HARGHITA,5517,2883,2634,2304,3213,4,5,3
HUNEDOARA,6009,3381,2628,3935,2074,4,4,3
IALOMITA,4294,2008,2286,1039,3255,5,5,5
IASI,9078,4289,4789,1933,7145,3,3,3
ILFOV,922,551,371,460,462,0,1,0
MARAMURES,5008,2466,2542,1923,3085,2,3,2
MEHEDINTI,6329,2876,3453,1704,4625,6,6,6
MUN. BUC.,15343,8200,7143,4881,10462,1,1,1
MURES,5910,2924,2986,2131,3779,3,3,2
NEAMT,8370,3999,4371,2308,6062,5,5,4
OLT,9460,4420,5040,1981,7479,6,6,6
PRAHOVA,9071,4825,4246,4561,4510,3,4,3
SALAJ,5254,2502,2752,1700,3554,5,6,5
SATU M.,5223,2460,2763,938,4285,4,4,4
SIBIU,5360,2710,2650,2622,2738,3,3,2
SUCEAVA,11600,5624,5976,4487,7113,5,5,5
TELEORMAN,7968,3702,4266,1893,6075,6,5,6
TIMIS,4289,2462,1827,2825,1464,1,2,1
TULCEA,2478,1276,1202,830,1648,3,3,3
VALCEA,6292,3181,3111,2696,3596,4,4,3
VASLUI,8671,3829,4842,1549,7122,7,6,7
VRANCEA,5422,2449,2973,1191,4231,4,4,4
Total ,285294,139829,145465,93965,191329,3,3,3
